timestamp,sleep_event
2025-05-09 22:13:56,SOUND
2025-05-09 22:14:54,SOUND
2025-05-09 22:18:58,SOUND
2025-05-09 22:20:29,SOUND
2025-05-09 22:42:56,SOUND
2025-05-09 22:42:59,SOUND
2025-05-09 22:43:09,SOUND
2025-05-09 22:43:20,SOUND
2025-05-09 22:43:23,LIGHT
2025-05-09 22:43:47,SOUND
2025-05-09 22:44:28,SOUND
2025-05-09 22:44:45,SOUND
2025-05-09 22:45:16,SOUND
2025-05-09 22:45:20,SOUND
2025-05-09 22:45:31,SOUND
2025-05-09 22:45:42,SOUND
2025-05-09 22:45:49,LIGHT
2025-05-09 22:45:52,LIGHT
2025-05-09 22:49:14,SOUND
2025-05-09 22:49:23,SOUND
2025-05-09 22:49:42,SOUND
2025-05-09 22:50:08,SOUND
2025-05-09 22:50:43,SOUND
2025-05-09 22:50:51,SOUND
2025-05-09 22:50:55,SOUND
2025-05-09 22:51:36,SOUND
2025-05-09 22:51:40,SOUND
2025-05-09 22:52:21,SOUND
2025-05-09 22:53:51,SOUND
2025-05-09 22:57:04,SOUND
2025-05-09 22:58:26,SOUND
2025-05-09 22:58:34,SOUND
2025-05-09 22:59:48,SOUND
2025-05-09 23:00:07,SOUND
2025-05-09 23:00:19,SOUND
2025-05-09 23:00:25,SOUND
2025-05-09 23:00:45,SOUND
2025-05-09 23:00:58,SOUND
2025-05-09 23:02:13,SOUND
2025-05-09 23:03:26,SOUND
2025-05-09 23:04:50,SOUND
2025-05-09 23:06:06,SOUND
2025-05-09 23:07:28,SOUND
2025-05-09 23:08:21,SOUND
2025-05-09 23:08:31,SOUND
2025-05-09 23:09:38,SOUND
2025-05-09 23:13:22,SOUND
2025-05-09 23:14:22,SOUND
2025-05-09 23:18:22,SOUND
2025-05-09 23:20:26,SOUND
2025-05-09 23:20:32,SOUND
2025-05-09 23:21:03,SOUND
2025-05-09 23:21:08,SOUND
2025-05-09 23:21:13,SOUND
2025-05-09 23:21:19,SOUND
2025-05-09 23:22:06,SOUND
2025-05-09 23:22:13,SOUND
2025-05-09 23:22:54,SOUND
2025-05-09 23:23:14,SOUND
2025-05-09 23:23:41,SOUND
2025-05-09 23:23:52,SOUND
2025-05-09 23:23:56,SOUND
2025-05-09 23:24:31,SOUND
2025-05-09 23:24:39,SOUND
2025-05-09 23:25:26,SOUND
2025-05-09 23:25:33,SOUND
2025-05-09 23:25:38,SOUND
2025-05-09 23:25:48,SOUND
2025-05-09 23:25:52,SOUND
2025-05-09 23:26:08,SOUND
2025-05-09 23:26:15,SOUND
2025-05-09 23:26:34,SOUND
2025-05-09 23:26:49,SOUND
2025-05-09 23:26:53,SOUND
2025-05-09 23:27:03,SOUND
2025-05-09 23:27:07,SOUND
2025-05-09 23:27:11,SOUND
2025-05-09 23:27:38,SOUND
2025-05-09 23:28:04,SOUND
2025-05-09 23:28:09,SOUND
2025-05-09 23:28:13,SOUND
2025-05-09 23:28:16,SOUND
2025-05-09 23:28:21,SOUND
2025-05-09 23:29:22,SOUND
2025-05-09 23:31:34,SOUND
2025-05-09 23:32:17,SOUND
2025-05-09 23:40:44,SOUND
2025-05-09 23:44:35,SOUND
2025-05-09 23:49:31,SOUND
2025-05-09 23:49:59,SOUND
2025-05-09 23:57:47,SOUND
2025-05-10 00:07:26,SOUND
2025-05-10 00:07:44,SOUND
2025-05-10 00:08:11,SOUND
2025-05-10 00:10:58,SOUND
2025-05-10 00:33:14,SOUND
2025-05-10 00:46:30,SOUND
2025-05-10 00:47:34,SOUND
2025-05-10 01:35:12,SOUND
2025-05-10 01:45:23,SOUND
2025-05-10 01:58:50,SOUND
2025-05-10 02:06:16,MOVEMENT
2025-05-10 02:06:43,MOVEMENT
2025-05-10 02:06:49,MOVEMENT
2025-05-10 02:09:07,SOUND
2025-05-10 02:32:35,SOUND
2025-05-10 03:31:21,SOUND
2025-05-10 03:44:40,SOUND
2025-05-10 04:08:47,SOUND
2025-05-10 04:37:18,SOUND
2025-05-10 04:37:25,SOUND
2025-05-10 06:34:21,SOUND
2025-05-10 10:45:58,MOVEMENT
2025-05-10 10:46:30,MOVEMENT
2025-05-10 11:48:36,SOUND
2025-05-10 11:54:54,SOUND
2025-05-10 11:55:34,SOUND
2025-05-10 12:01:33,SOUND
2025-05-10 12:21:12,SOUND
2025-05-10 12:25:35,SOUND
2025-05-10 13:23:26,SOUND
2025-05-10 13:23:32,SOUND
2025-05-10 13:32:49,SOUND
2025-05-10 13:33:01,MOVEMENT
2025-05-10 13:33:18,SOUND
2025-05-10 13:33:41,SOUND
2025-05-10 13:35:43,SOUND
2025-05-10 13:53:03,SOUND